,ele,lat,lon,distance
274,33.591,-12.4809939,131.0043633,21922.5087245362
275,31.436,-12.4817551,131.0051692,22044.260187604053
276,29.721,-12.4821114,131.00559,22104.73129168322
277,29.801,-12.4825184,131.0061065,22176.791412557825
278,27.532,-12.4829289,131.0066296,22249.65261293914
279,28.96,-12.483337,131.0071506,22322.17200917016
280,23.941,-12.483908,131.0078166,22418.42025887364
281,25.523,-12.4843168,131.0082327,22482.51301257633
282,30.089,-12.4849159,131.0087893,22572.459525244525
283,34.544,-12.4854447,131.0092061,22646.662742057597
284,37.309,-12.4861724,131.0096978,22743.648011550347
285,36.242,-12.4866351,131.0099644,22802.685663557742
286,37.852,-12.4875024,131.0103956,22909.9026726146
287,39.632,-12.4882128,131.010678,22994.6451710873
288,39.0,-12.4886546,131.0108255,23046.323893455177
289,39.756,-12.4894654,131.0110432,23139.54848469892
290,42.431,-12.4901023,131.0111776,23211.86022952997
291,39.465,-12.4907355,131.0112999,23283.515173424243
292,43.498,-12.4918062,131.0115146,23404.83192282011
293,41.809,-12.4925513,131.0116684,23489.35390459864
294,40.472,-12.4930559,131.0117973,23547.181562933005
295,43.151,-12.4936539,131.0119808,23616.60152789757
296,42.942,-12.4943726,131.0122534,23701.828883155555
297,42.464,-12.4948735,131.0124726,23762.39700196814
298,42.041,-12.4958448,131.0129851,23883.9527475943
299,43.431,-12.4965087,131.0133653,23968.53018656579
300,43.665,-12.4972044,131.013766,24057.29448063173
301,45.03,-12.4974454,131.0138994,24087.755246196277
302,43.0,-12.4980739,131.0142703,24168.421688015667
303,43.838,-12.4986672,131.0146154,24244.2964984
304,44.676,-12.4992606,131.0149606,24320.171308744357
305,44.493,-12.5004185,131.0156278,24467.89897033249
306,42.955,-12.5010171,131.0159567,24543.43208962725
307,45.344,-12.5015712,131.0162611,24613.347490748994
308,45.0,-12.5020081,131.0165094,24668.905520176264
309,42.2973333,-12.5027377,131.0169377,24762.4073966
310,39.5946667,-12.5034672,131.0173659,24855.909273
311,36.892,-12.5041968,131.0177942,24949.411149371776
312,37.086,-12.5046054,131.0180267,25001.3852387
313,37.28,-12.505014,131.0182592,25053.359328112627
314,36.499,-12.5058673,131.018752,25162.2868071
315,35.718,-12.5067206,131.0192449,25271.21428611401
316,35.36,-12.506979,131.0193921,25304.091572531343
317,36.032,-12.5074491,131.0196623,25364.03241721266
318,36.881,-12.5084888,131.0202611,25496.664097272464
319,35.739,-12.5090798,131.0206016,25572.0623249721
320,35.332,-12.5093924,131.020784,25612.06636168081
321,28.319,-12.5103517,131.0213701,25736.280024535416
322,25.845,-12.5110503,131.0218862,25832.056381865645
323,25.613,-12.5113243,131.0221249,25872.054708918044
324,24.216,-12.511859,131.0226176,25952.06253154244
325,24.344,-12.512249,131.023002,26012.244373563608
326,20.64,-12.5127234,131.0235534,26092.063536468435
327,19.688,-12.5131422,131.0240979,26167.320336492456
328,17.548,-12.5135288,131.0246803,26243.77736789346
329,18.989,-12.5140056,131.0255081,26348.11637806744
330,20.735,-12.5142419,131.0259908,26406.73944443498
331,22.688,-12.5145348,131.0266636,26486.74038118356
332,26.001,-12.5148365,131.0275721,26590.91724250443
333,34.223,-12.5150745,131.0283954,26684.12477470368
334,34.1715,-12.5152104,131.0289294,26744.0345318
335,34.12,-12.5153463,131.0294635,26803.94428892221
336,36.233,-12.5156642,131.0304907,26920.918529646675
337,37.917,-12.5158735,131.0311685,26998.088462469696
338,36.83,-12.5161109,131.0317145,27062.97086884963
339,38.013,-12.5163905,131.0322738,27131.18158340725
340,39.58,-12.5169675,131.0331721,27247.908223530485
341,39.8622,-12.5173404,131.0337038,27318.9798271
342,40.1444,-12.5177134,131.0342355,27390.0514307
343,40.4266,-12.5180863,131.0347673,27461.1230343
344,40.7088,-12.5184593,131.035299,27532.1946379
345,40.991,-12.5188322,131.0358307,27603.266241430905
346,41.409,-12.519252,131.0364292,27683.2650221
347,41.827,-12.5196718,131.0370277,27763.263802827085
348,43.887,-12.5202463,131.0378535,27873.33885209758
349,43.049,-12.5205693,131.0383179,27935.23716879155
350,43.945,-12.5210756,131.0390422,28031.9486879
351,44.841,-12.521582,131.0397665,28128.660206920074
352,44.972,-12.5218536,131.0401545,28180.48635079506
353,44.93,-12.5223254,131.0408139,28269.23114270664
354,44.4083333,-12.5227067,131.0413645,28342.5051253
355,43.8866667,-12.5230879,131.041915,28415.7791079
356,43.365,-12.5234692,131.0424656,28489.053090526133
357,45.246,-12.5239643,131.0431495,28581.48243113176
358,44.09,-12.524505,131.043921,28684.57511310236
359,44.83,-12.5247711,131.0442931,28734.64492884777
360,45.694,-12.5251671,131.0448594,28810.290614
361,46.558,-12.5255631,131.0454258,28885.936299151745
362,48.609,-12.5261717,131.04625,28998.113577517877
363,49.552,-12.5265381,131.0466914,29061.006846973643
364,47.787,-12.5273273,131.0475606,29189.858806510216
365,48.993,-12.5278122,131.0480536,29265.825503503474
366,47.992,-12.5283948,131.0486215,29355.249863343037
367,48.188,-12.528736,131.0489073,29404.2661007
368,48.384,-12.5290773,131.0491932,29453.282338049597
369,48.288,-12.5297043,131.0497104,29542.7953242
370,48.192,-12.5303314,131.0502276,29632.3083104
371,48.096,-12.5309584,131.0507447,29721.8212966
372,48.0,-12.5315854,131.0512619,29811.334282746782
373,47.6445,-12.5320606,131.0516492,29878.8618696
374,47.289,-12.5325359,131.0520365,29946.389456455305
375,47.5425,-12.5332125,131.0526016,30043.456555
376,47.796,-12.5338891,131.0531666,30140.523653553868
377,46.4986667,-12.5343728,131.0535542,30208.8095437
378,45.2013333,-12.5348566,131.0539417,30277.0954338
379,43.904,-12.5353403,131.0543293,30345.38132389393
380,45.4955,-12.5358606,131.0547462,30418.8280624
381,47.087,-12.5363809,131.055163,30492.27480087872
382,52.535,-12.537144,131.0558194,30603.07324552986
383,49.4305,-12.5375949,131.0562074,30668.5526823
384,46.326,-12.5380459,131.0565953,30734.03211913727
385,48.0,-12.5389662,131.0574516,30872.273994378786
386,48.309,-12.5394207,131.0578745,30940.5466032
387,48.618,-12.5398752,131.0582974,31008.819212
388,48.927,-12.5403297,131.0587203,31077.091820877897
389,46.757,-12.5409109,131.059203,31160.288196660236
390,48.077,-12.5415175,131.0596598,31244.00188387055
391,46.668,-12.5419665,131.0599779,31304.7042314
392,45.259,-12.5424155,131.060296,31365.40657890928
393,46.778,-12.5431651,131.0608255,31466.652387362225
394,46.199,-12.5437776,131.0612582,31549.382791080963
395,45.3166667,-12.5443045,131.06164,31621.1469415
396,44.4343333,-12.5448315,131.0620217,31692.911092
397,43.552,-12.5453584,131.0624035,31764.675242458317
