,ele,lat,lon,distance,temp
13239,368.44,-20.4560212,134.2500478,1082566.4290971758,13532.0
13240,366.479,-20.4581567,134.2503096,1082805.4471669602,13535.0
13241,370.0,-20.4602349,134.2505573,1083037.9688729502,13537.0
13242,371.5,-20.4625463,134.2508495,1083296.781292414,13541.0
13243,374.383,-20.4643986,134.2510607,1083503.9195261118,13543.0
13245,373.885,-20.4645774,134.2510814,1083523.9178490734,13544.0
13246,369.923,-20.4658723,134.2512359,1083668.8009635317,13545.0
13247,371.045,-20.4670887,134.251387,1083804.971343439,13547.0
13248,372.539,-20.4683113,134.2515386,1083941.8325198034,13549.0
13249,372.985,-20.4693084,134.2516583,1084053.4040010816,13550.0
13250,373.307,-20.4701926,134.2517569,1084152.257642554,13551.0
13251,370.0,-20.4706544,134.251811,1084203.9158042937,13552.0
13252,371.0,-20.471199,134.2518747,1084264.8350531696,13553.0
13253,376.064,-20.4727987,134.2520737,1084443.9174740647,13555.0
13254,376.706,-20.4732004,134.2521237,1084488.8871343068,13556.0
13255,375.107,-20.4744268,134.2522665,1084626.065532913,13557.0
13256,373.517,-20.4754213,134.2523875,1084737.3649227794,13559.0
13257,376.0,-20.476322,134.2525019,1084838.224689184,13560.0
13258,377.729,-20.4776139,134.2526501,1084982.7045561715,13562.0
13259,376.014,-20.4783283,134.2527195,1085062.47048546,13563.0
13260,378.0,-20.4790715,134.2527712,1085145.2858484823,13564.0
13261,376.858,-20.4799882,134.2528191,1085247.340285568,13565.0
13262,375.162,-20.4810543,134.2528344,1085365.8959097345,13567.0
13264,376.312,-20.4819726,134.2528363,1085468.006403134,13568.0
13265,374.901,-20.482568,134.2528184,1085534.238113214,13569.0
13266,377.033,-20.4837236,134.2527549,1085662.9050993966,13570.0
13267,377.391,-20.4842245,134.2527269,1085718.6789494164,13571.0
13268,379.482,-20.4847863,134.2526742,1085781.3889843964,13572.0
13270,378.645,-20.4853264,134.2526194,1085841.7160245262,13573.0
13272,378.819,-20.4866591,134.2524421,1085991.0553247517,13574.0
13273,376.066,-20.4872096,134.2523501,1086053.013697331,13575.0
13274,376.371,-20.4881104,134.252188,1086154.5912266308,13576.0
13275,379.174,-20.4886288,134.2520854,1086213.2169698542,13577.0
13276,381.034,-20.4889243,134.2520169,1086246.8408192305,13578.0
13278,378.975,-20.490222,134.2517295,1086394.211298834,13579.0
13279,379.893,-20.4908768,134.2515782,1086468.7077215088,13580.0
13280,379.354,-20.491491,134.2514363,1086538.5846647709,13581.0
13281,379.096,-20.4919712,134.2513295,1086593.1269311958,13582.0
13284,379.007,-20.4927751,134.2511739,1086683.9968506137,13583.0
13286,379.165,-20.4933792,134.2511144,1086751.4791728929,13584.0
13287,381.507,-20.4938244,134.2511009,1086801.0031202459,13585.0
13289,380.0,-20.4947632,134.2511414,1086905.5166861578,13586.0
13291,379.225,-20.4954715,134.251238,1086984.931792754,13587.0
13292,380.069,-20.4959798,134.2513526,1087042.6988117995,13588.0
13294,380.845,-20.4966702,134.2515503,1087122.1903163474,13589.0
13297,381.0,-20.4974366,134.2518561,1087213.2142575257,13590.0
13300,381.502,-20.4982038,134.2522309,1087307.048247728,13591.0
13302,381.124,-20.4987751,134.2525841,1087380.4621249575,13592.0
13304,382.282,-20.4994805,134.2531127,1087476.314429268,13593.0
13306,382.0,-20.5005013,134.2540557,1087626.4334422254,13595.0
13307,381.748,-20.5014652,134.2549517,1087768.5477204665,13597.0
13308,383.0,-20.5024431,134.2558709,1087913.4245839177,13598.0
13309,385.0,-20.5033743,134.2567503,1088051.6647472158,13600.0
13311,384.935,-20.5039473,134.2572854,1088136.3140909935,13601.0
13313,386.152,-20.504836,134.258127,1088268.4058976397,13603.0
13314,381.963,-20.5056394,134.2588774,1088387.1012817507,13604.0
13315,384.488,-20.5062534,134.2594539,1088478.0206759847,13605.0
13316,384.041,-20.506512,134.2596967,1088516.3129751154,13606.0
13318,384.534,-20.5068151,134.2599813,1088561.1958924923,13607.0
13319,385.637,-20.507638,134.2607325,1088681.585149903,13608.0
13320,387.404,-20.5081974,134.2612234,1088762.102403771,13609.0
13321,389.523,-20.5090482,134.2619305,1088881.9909692176,13611.0
13324,387.223,-20.5101025,134.2627607,1089027.694334657,13612.0
13325,386.846,-20.5104258,134.2630128,1089072.21053786,13613.0
13326,388.44,-20.5113063,134.2636675,1089191.5206383776,13614.0
13327,389.238,-20.5124158,134.2644952,1089342.0229530707,13616.0
13328,390.994,-20.5131147,134.265008,1089436.318306122,13617.0
13329,390.761,-20.5132401,134.2651,1089453.236684005,13618.0
13331,388.888,-20.5138566,134.2655506,1089536.3119592848,13619.0
13333,389.333,-20.5149075,134.2662979,1089676.712605248,13620.0
13334,388.565,-20.5158783,134.266847,1089798.87183113,13622.0
13335,392.524,-20.5177778,134.2679101,1090037.3441907617,13625.0
13337,394.619,-20.5185659,134.2683517,1090136.3110780902,13626.0
13339,395.276,-20.5188845,134.2685301,1090176.313801577,13627.0
13340,391.084,-20.5204283,134.2693951,1090370.1763047506,13629.0
13341,395.601,-20.5211144,134.269779,1090456.3076680154,13630.0
13342,392.576,-20.5222296,134.270403,1090596.3071268194,13632.0
13343,393.438,-20.5227076,134.2706704,1090656.3110748797,13633.0
13345,395.681,-20.5238228,134.2712943,1090796.3053865137,13634.0
13346,391.854,-20.5246643,134.2717651,1090901.9422461588,13636.0
13347,392.297,-20.526213,134.2726305,1091096.3051092525,13638.0
13349,393.452,-20.5270701,134.2731095,1091203.8744365799,13640.0
13351,395.128,-20.5278133,134.2735304,1091297.4183821813,13641.0
13352,398.687,-20.5285075,134.2739156,1091384.4099782594,13642.0
13354,400.862,-20.5291557,134.2742159,1091463.0102144426,13643.0
13356,398.099,-20.5297446,134.2744355,1091532.370953402,13644.0
13361,398.036,-20.5304216,134.2746285,1091610.2967798645,13645.0
13365,399.118,-20.5312342,134.2747832,1091702.095097065,13646.0
13367,398.812,-20.5318613,134.2748456,1091772.151266722,13647.0
