Time,Current1,Current2,Voltage,Speed,SOC,Distance,2
14/08:52:58,0.48,3.69,117.97,0.011,35.1,0.0,180
14/08:52:59,0.49,3.56,117.96,0.011,35.1,0.0,181
14/08:52:59,0.49,3.44,117.96,0.011,35.1,0.0,182
14/08:53:00,0.5,3.31,117.94,0.011,35.1,0.0,183
14/08:53:00,0.5,3.17,117.93,0.011,35.1,0.0,184
14/08:53:01,0.5,3.02,117.93,0.0,35.11,0.0,185
14/08:53:01,0.5,2.9,117.92,0.022,35.11,0.0,186
14/08:53:02,0.5,2.81,117.91,0.022,35.11,0.0,187
14/08:53:02,0.5,2.74,117.9,0.011,35.11,0.0,188
14/08:53:03,0.5,2.67,117.89,0.0,35.11,0.0,189
14/08:53:03,0.49,2.62,117.89,0.011,35.11,0.0,190
14/08:53:04,0.49,2.59,117.88,0.022,35.11,0.0,191
14/08:53:04,0.49,2.56,117.88,0.011,35.11,0.0,192
14/08:53:05,0.49,2.54,117.87,0.011,35.11,0.0,193
14/08:53:06,0.49,2.51,117.88,0.011,35.11,0.0,194
14/08:53:06,0.49,2.47,117.87,0.011,35.11,0.0,195
14/08:53:08,0.49,2.46,117.86,0.011,35.11,0.0,196
14/08:53:08,0.49,2.45,117.86,0.0,35.11,0.0,197
14/08:53:09,0.49,2.44,117.86,0.011,35.11,0.0,198
14/08:53:09,0.49,2.44,117.86,0.011,35.11,0.0,199
14/08:53:10,0.49,2.43,117.85,0.011,35.11,0.0,200
14/08:53:10,0.49,2.42,117.85,0.011,35.11,0.0,201
14/08:53:11,0.49,2.4,117.84,0.0,35.11,0.0,202
14/08:53:11,0.49,2.4,117.84,0.022,35.11,0.0,203
14/08:53:12,0.49,2.39,117.84,0.022,35.11,0.0,204
14/08:53:12,0.49,2.39,117.84,0.011,35.11,0.0,205
14/08:53:13,0.49,2.39,117.85,0.011,35.11,0.0,206
14/08:53:13,0.49,2.4,117.85,0.011,35.11,0.0,207
14/08:53:14,0.49,2.39,117.85,0.011,35.11,0.0,208
14/08:53:14,0.49,2.4,117.84,0.0,35.11,0.0,209
14/08:53:15,0.49,2.42,117.85,0.0,35.11,0.0,210
14/08:53:16,0.49,2.42,117.84,0.0,35.11,0.0,211
14/08:53:16,0.49,2.41,117.85,0.011,35.11,0.0,212
14/08:53:17,0.49,2.41,117.84,0.0,35.11,0.0,213
14/08:53:17,0.49,2.4,117.85,0.0,35.11,0.0,214
14/08:53:18,0.49,2.4,117.85,0.011,35.11,0.0,215
14/08:53:18,0.49,2.4,117.85,0.022,35.11,0.0,216
14/08:53:19,0.49,2.39,117.85,0.011,35.11,0.0,217
14/08:53:19,0.49,2.39,117.85,0.011,35.11,0.0,218
14/08:53:20,0.48,2.38,117.85,0.011,35.12,0.0,219
14/08:53:20,0.49,2.38,117.86,0.011,35.12,0.0,220
